age_s,dmarried_s,empl_06,salary_06,profit_06,tenure_06,days_06,hours_06,contract_06,dformal_06,educ_s,city,age_lb,dmarried_lb,empl_04,salary_04,profit_04,days_04,hours_04,contract_04,dformal_04,educ_lb,select,pempl_06,pempl_04,dcontinue,codigo_ecap,codigo_curs,dwomen,p_selecap
22.0,0.0,1.0,0.0,240000.0,15.233334,22.0,84.0,0.0,0.0,5.0,1.0,20.0,0.0,1.0,0.0,120000.0,24.0,60.0,0.0,0.0,6.0,control,0.0,0.0,1.0,1.0,63520505.0,0.0,0.6666667
22.0,0.0,1.0,116000.0,0.0,1.8666667,10.0,14.0,0.0,0.0,9.0,1.0,20.0,0.0,1.0,300000.0,0.0,15.0,30.0,0.0,0.0,10.0,control,1.0,1.0,1.0,1.0,66120005.0,0.0,0.6666667
24.0,0.0,1.0,650000.0,0.0,1.8666667,28.0,91.0,0.0,0.0,10.0,1.0,23.0,0.0,1.0,210000.0,0.0,30.0,70.0,0.0,0.0,10.0,control,1.0,1.0,1.0,1.0,66120005.0,0.0,0.6666667
24.0,0.0,1.0,408000.0,0.0,0.1,28.0,48.0,0.0,0.0,11.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,1.0,0.0,1.0,1.0,33110020.0,1.0,0.6666667
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,1.0,63520505.0,0.0,0.6666667
25.0,0.0,1.0,0.0,70000.0,12.433333,20.0,16.0,0.0,0.0,11.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,0.0,0.0,1.0,1.0,63520505.0,1.0,0.6666667
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,1.0,33110020.0,1.0,0.6666667
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,1.0,33110020.0,1.0,0.6666667
23.0,0.0,1.0,408000.0,0.0,12.6,28.0,56.0,1.0,1.0,11.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,1.0,0.0,1.0,1.0,66120005.0,1.0,0.6666667
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,1.0,66120005.0,1.0,0.6666667
