Variable,Period,mean,median,std,min,max
age,Pre,21.08,21.0,2.05,18.0,29.0
age,Post,22.67,22.0,2.12,19.0,46.0
education,Pre,10.17,11.0,1.67,2.0,14.0
education,Post,10.4,11.0,1.54,2.0,15.0
tenure,Pre,4.03,0.0,9.95,0.0,171.17
tenure,Post,6.78,3.82,10.34,0.0,116.4
salary,Pre,105670.66,0.0,155537.2,0.0,800000.0
salary,Post,255487.88,300000.0,221491.42,0.0,2e+06
profit,Pre,22488.75,0.0,79272.3,0.0,760000.0
profit,Post,18404.8,0.0,84162.61,0.0,1e+06
days_worked,Pre,12.75,12.0,12.74,0.0,30.0
days_worked,Post,18.13,24.0,11.46,0.0,30.0
hours_worked,Pre,26.77,18.0,29.1,0.0,112.0
hours_worked,Post,39.09,48.0,26.19,0.0,115.0
