Variable,Period,mean,median,std,min,max
employment,Pre,0.5,1.0,0.5,0.0,1.0
employment,Post,0.72,1.0,0.45,0.0,1.0
salary,Pre,99.66,0.0,156.18,0.0,1000.0
salary,Post,215.79,204.0,203.11,0.0,1000.0
paid employment,Pre,0.35,0.0,0.48,0.0,1.0
paid employment,Post,0.61,1.0,0.49,0.0,1.0
age,Pre,21.23,21.0,2.03,18.0,26.0
age,Post,22.78,23.0,2.05,19.0,28.0
education,Pre,9.99,11.0,1.91,0.0,16.0
education,Post,10.21,11.0,1.77,2.0,15.0
married,Pre,0.2,0.0,0.4,0.0,1.0
married,Post,0.27,0.0,0.44,0.0,1.0
gender,Pre,0.55,1.0,0.5,0.0,1.0
gender,Post,0.55,1.0,0.5,0.0,1.0
