Variable,Period,mean,median,std,Group
age,Post,22.62,22.0,2.03,Pre-treatment Men
age,Post,22.91,23.0,2.06,Pre-treatment Women
age,Post,22.48,22.0,2.19,Treatment Men
age,Post,22.84,23.0,2.05,Treatment Women
age,Pre,21.04,21.0,2.0,Pre-treatment Men
age,Pre,21.39,21.0,2.04,Pre-treatment Women
age,Pre,20.88,21.0,2.03,Treatment Men
age,Pre,21.26,21.0,2.06,Treatment Women
education,Post,10.25,11.0,1.81,Pre-treatment Men
education,Post,10.17,11.0,1.74,Pre-treatment Women
education,Post,10.42,11.0,1.57,Treatment Men
education,Post,10.38,11.0,1.51,Treatment Women
education,Pre,10.07,11.0,1.84,Pre-treatment Men
education,Pre,9.93,11.0,1.96,Pre-treatment Women
education,Pre,10.26,11.0,1.61,Treatment Men
education,Pre,10.1,11.0,1.72,Treatment Women
employment,Post,0.83,1.0,0.37,Pre-treatment Men
employment,Post,0.64,1.0,0.48,Pre-treatment Women
employment,Post,0.83,1.0,0.38,Treatment Men
employment,Post,0.7,1.0,0.46,Treatment Women
employment,Pre,0.56,1.0,0.5,Pre-treatment Men
employment,Pre,0.46,0.0,0.5,Pre-treatment Women
employment,Pre,0.61,1.0,0.49,Treatment Men
employment,Pre,0.47,0.0,0.5,Treatment Women
married,Post,0.2,0.0,0.4,Pre-treatment Men
married,Post,0.32,0.0,0.47,Pre-treatment Women
married,Post,0.17,0.0,0.38,Treatment Men
married,Post,0.32,0.0,0.47,Treatment Women
married,Pre,0.13,0.0,0.33,Pre-treatment Men
married,Pre,0.26,0.0,0.44,Pre-treatment Women
married,Pre,0.09,0.0,0.29,Treatment Men
married,Pre,0.27,0.0,0.44,Treatment Women
paid employment,Post,0.69,1.0,0.46,Pre-treatment Men
paid employment,Post,0.55,1.0,0.5,Pre-treatment Women
paid employment,Post,0.75,1.0,0.44,Treatment Men
paid employment,Post,0.61,1.0,0.49,Treatment Women
paid employment,Pre,0.37,0.0,0.48,Pre-treatment Men
paid employment,Pre,0.33,0.0,0.47,Pre-treatment Women
paid employment,Pre,0.43,0.0,0.5,Treatment Men
paid employment,Pre,0.35,0.0,0.48,Treatment Women
salary,Post,265.29,360.0,207.8,Pre-treatment Men
salary,Post,177.16,114.5,190.75,Pre-treatment Women
salary,Post,302.42,400.0,227.19,Treatment Men
salary,Post,214.39,200.0,207.97,Treatment Women
salary,Pre,118.75,0.0,172.69,Pre-treatment Men
salary,Pre,83.92,0.0,139.25,Pre-treatment Women
salary,Pre,125.27,0.0,166.95,Treatment Men
salary,Pre,88.37,0.0,142.57,Treatment Women
