Variable,Period,mean,median,std,min,max
employment,Pre,0.54,1.0,0.5,0.0,1.0
employment,Post,0.76,1.0,0.43,0.0,1.0
salary,Pre,105.67,0.0,155.54,0.0,800.0
salary,Post,255.49,300.0,221.49,0.0,2000.0
paid employment,Pre,0.39,0.0,0.49,0.0,1.0
paid employment,Post,0.67,1.0,0.47,0.0,1.0
age,Pre,21.08,21.0,2.05,18.0,29.0
age,Post,22.67,22.0,2.12,19.0,46.0
education,Pre,10.17,11.0,1.67,2.0,14.0
education,Post,10.4,11.0,1.54,2.0,15.0
married,Pre,0.19,0.0,0.39,0.0,1.0
married,Post,0.25,0.0,0.44,0.0,1.0
gender,Pre,0.53,1.0,0.5,0.0,1.0
gender,Post,0.53,1.0,0.5,0.0,1.0
